,"OUTLET TRANSACTION REPORT (Detail)
 ",,,,,,,,,,,,,,,,,,,,,,,,, 1 of 151,,,,,,,
,Yats Hotel ,,,,,,,,,,,,,,,,,,,,,,,,,28-Apr-17,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:58 PM,,
,Date :,1/1/17,to,1/31/17,,,,,,,Cashier :,ajeng,to,ninik,,,,,,Outlet :,110,to,PC,,,,,,,,,,
Code,,Description,,,,,,Qty,Food Rev,,Bev Rev,Oth FB Rev,,Amount +/+,SvChg,,Tax,,Amount Nett,,Cash,,Credit Card,,City Ledger,,Bill FO,,Other Pymt,,Remarks,,
SALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,Room ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill No :,,PC-00000172,,Pymt No :,,PC-00000172,,,,Date :,1/1/17,Cashier :,,fochrista,,Pax :,2,Table :,,Time :,7:16:00 AM,,,,,,Waiter :,,,,,,
RM001,,Room Revenue,,,,,,1, 0.,, 0.,714 876.,,714 876.,71 488.,,78 636.,,865 000.,,,,,,,,,,,,,,
,,,Total,,PC-00000172,,, 1., 0.,, 0.,714 876.,,714 876.,71 488.,,78 636.,,865 000.,, 0.,, 0.,, 0.,, 0.,, 0.,,HA101,,
Bill No :,,PC-00000173,,Pymt No :,,PC-00000173,,,,Date :,1/1/17,Cashier :,,fochrista,,Pax :,2,Table :,,Time :,7:16:00 AM,,,,,,Waiter :,,,,,,
RM001,,Room Revenue,,,,,,1, 0.,, 0.,371 901.,,371 901.,37 190.,,40 909.,,450 000.,,,,,,,,,,,,,,
,,,Total,,PC-00000173,,, 1., 0.,, 0.,371 901.,,371 901.,37 190.,,40 909.,,450 000.,, 0.,, 0.,, 0.,, 0.,, 0.,,K103,,
Bill No :,,PC-00000174,,Pymt No :,,PC-00000174,,,,Date :,1/1/17,Cashier :,,fochrista,,Pax :,2,Table :,,Time :,7:16:00 AM,,,,,,Waiter :,,,,,,
RM001,,Room Revenue,,,,,,1, 0.,, 0.,504 132.,,504 132.,50 413.,,55 455.,,610 000.,,,,,,,,,,,,,,
,,,Total,,PC-00000174,,, 1., 0.,, 0.,504 132.,,504 132.,50 413.,,55 455.,,610 000.,, 0.,, 0.,, 0.,, 0.,, 0.,,K104,,
Bill No :,,PC-00000175,,Pymt No :,,PC-00000175,,,,Date :,1/1/17,Cashier :,,fochrista,,Pax :,2,Table :,,Time :,7:16:00 AM,,,,,,Waiter :,,,,,,
RM001,,Room Revenue,,,,,,1, 0.,, 0.,714 876.,,714 876.,71 488.,,78 636.,,865 000.,,,,,,,,,,,,,,
,,,Total,,PC-00000175,,, 1., 0.,, 0.,714 876.,,714 876.,71 488.,,78 636.,,865 000.,, 0.,, 0.,, 0.,, 0.,, 0.,,K105,,
Bill No :,,PC-00000176,,Pymt No :,,PC-00000176,,,,Date :,1/1/17,Cashier :,,fochrista,,Pax :,2,Table :,,Time :,7:16:00 AM,,,,,,Waiter :,,,,,,
RM001,,Room Revenue,,,,,,1, 0.,, 0.,396 694.,,396 694.,39 669.,,43 636.,,480 000.,,,,,,,,,,,,,,
,,,Total,,PC-00000176,,, 1., 0.,, 0.,396 694.,,396 694.,39 669.,,43 636.,,480 000.,, 0.,, 0.,, 0.,, 0.,, 0.,,K106,,
Bill No :,,PC-00000177,,Pymt No :,,PC-00000177,,,,Date :,1/1/17,Cashier :,,fochrista,,Pax :,2,Table :,,Time :,7:16:00 AM,,,,,,Waiter :,,,,,,
RM001,,Room Revenue,,,,,,1, 0.,, 0.,396 694.,,396 694.,39 669.,,43 636.,,480 000.,,,,,,,,,,,,,,
,,,Total,,PC-00000177,,, 1., 0.,, 0.,396 694.,,396 694.,39 669.,,43 636.,,480 000.,, 0.,, 0.,, 0.,, 0.,, 0.,,K107,,
Bill No :,,PC-00000178,,Pymt No :,,PC-00000178,,,,Date :,1/1/17,Cashier :,,fochrista,,Pax :,2,Table :,,Time :,7:16:00 AM,,,,,,Waiter :,,,,,,
RM001,,Room Revenue,,,,,,1, 0.,, 0.,371 901.,,371 901.,37 190.,,40 909.,,450 000.,,,,,,,,,,,,,,
,,,Total,,PC-00000178,,, 1., 0.,, 0.,371 901.,,371 901.,37 190.,,40 909.,,450 000.,, 0.,, 0.,, 0.,, 0.,, 0.,,S101,,
Bill No :,,PC-00000179,,Pymt No :,,PC-00000179,,,,Date :,1/1/17,Cashier :,,fochrista,,Pax :,2,Table :,,Time :,7:16:00 AM,,,,,,Waiter :,,,,,,
RM001,,Room Revenue,,,,,,1, 0.,, 0.,371 901.,,371 901.,37 190.,,40 909.,,450 000.,,,,,,,,,,,,,,
,,,Total,,PC-00000179,,, 1., 0.,, 0.,371 901.,,371 901.,37 190.,,40 909.,,450 000.,, 0.,, 0.,, 0.,, 0.,, 0.,,S103,,
Bill No :,,PC-00000180,,Pymt No :,,PC-00000180,,,,Date :,1/1/17,Cashier :,,fochrista,,Pax :,2,Table :,,Time :,7:16:00 AM,,,,,,Waiter :,,,,,,
RM001,,Room Revenue,,,,,,1, 0.,, 0.,743 802.,,743 802.,74 380.,,81 818.,,900 000.,,,,,,,,,,,,,,
,,,Total,,PC-00000180,,, 1., 0.,, 0.,743 802.,,743 802.,74 380.,,81 818.,,900 000.,, 0.,, 0.,, 0.,, 0.,, 0.,,S104,,
Bill No :,,PC-00000181,,Pymt No :,,PC-00000181,,,,Date :,1/1/17,Cashier :,,fochrista,,Pax :,2,Table :,,Time :,7:16:00 AM,,,,,,Waiter :,,,,,,
RM001,,Room Revenue,,,,,,1, 0.,, 0.,396 694.,,396 694.,39 669.,,43 636.,,480 000.,,,,,,,,,,,,,,
,,,Total,,PC-00000181,,, 1., 0.,, 0.,396 694.,,396 694.,39 669.,,43 636.,,480 000.,, 0.,, 0.,, 0.,, 0.,, 0.,,S105,,
Bill No :,,PC-00000182,,Pymt No :,,PC-00000182,,,,Date :,2/1/17,Cashier :,,folia,,Pax :,2,Table :,,Time :,7:12:00 AM,,,,,,Waiter :,,,,,,
RM001,,Room Revenue,,,,,,1, 0.,, 0.,504 132.,,504 132.,50 413.,,55 455.,,610 000.,,,,,,,,,,,,,,
,,,Total,,PC-00000182,,, 1., 0.,, 0.,504 132.,,504 132.,50 413.,,55 455.,,610 000.,, 0.,, 0.,, 0.,, 0.,, 0.,,K101,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"OUTLET TRANSACTION REPORT (Detail)
 ",,,,,,,,,,,,,,,,,,,,,,,,, 2 of 151,,,,,,,
,Yats Hotel ,,,,,,,,,,,,,,,,,,,,,,,,,28-Apr-17,,,,,,,
